id,datetime,message,message_id,category_id,repetition_datetime,repetition_count
1,1698243673000,DSL-Synchronisierung beginnt (Training).,12,2,,
2,1698243809000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2 gescheitert (ungültige Sitzungskennung). Zur Sicherheit werden alle noch gültigen Sitzungen zur IP-Adresse 192.168.178.2 beendet.,503,1,,
3,1698243814000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
4,1698243816000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 69997/36999 kbit/s).,11,2,,
5,1698243823000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN27 0113374004 bad form,34,2,,
6,1698243886000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1698243883000,4
7,1698243886000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 2.205.161.141, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
8,1698243888000,Die Systemzeit wurde erfolgreich aktualisiert von Zeitserver 45.138.55.61.,2104,1,,
9,1698274511000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1698244021000,15
10,1698333267000,DSL-Synchronisierung beginnt (Training).,12,2,,
11,1698333407000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 69997/36999 kbit/s).,11,2,,
12,1698333414000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN27 0114228879 bad form,34,2,,
13,1698333477000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1698333474000,4
14,1698333477000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 178.9.196.119, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
15,1698333480000,Die Systemzeit wurde erfolgreich aktualisiert von Zeitserver 217.114.59.66.,2104,1,,
16,1698333501000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2 gescheitert (ungültige Sitzungskennung). Zur Sicherheit werden alle noch gültigen Sitzungen zur IP-Adresse 192.168.178.2 beendet.,503,1,,
17,1698333506000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
18,1698333878000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2 gescheitert (ungültige Sitzungskennung). Zur Sicherheit werden alle noch gültigen Sitzungen zur IP-Adresse 192.168.178.2 beendet.,503,1,,
19,1698457701000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1698334097000,4
20,1698457907000,DSL-Synchronisierung beginnt (Training).,12,2,,
21,1698458014000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2 gescheitert (ungültige Sitzungskennung). Zur Sicherheit werden alle noch gültigen Sitzungen zur IP-Adresse 192.168.178.2 beendet.,503,1,,
22,1698458020000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1698458019000,2
23,1698458048000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 69997/36999 kbit/s).,11,2,,
24,1698458055000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN27 0115318863 bad form,34,2,,
25,1698458118000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1698458115000,4
26,1698458118000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 178.9.196.102, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
27,1698458120000,Die Systemzeit wurde erfolgreich aktualisiert von Zeitserver 91.206.8.34.,2104,1,,
28,1698631462000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1698489300000,5
29,1698708757000,DSL-Synchronisierung beginnt (Training).,12,2,,
30,1698708870000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2 gescheitert (ungültige Sitzungskennung). Zur Sicherheit werden alle noch gültigen Sitzungen zur IP-Adresse 192.168.178.2 beendet.,503,1,,
31,1698708875000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
32,1698708897000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 69997/36999 kbit/s).,11,2,,
33,1698708904000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN27 0117507576 bad form,34,2,,
34,1698708967000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1698708964000,4
35,1698708967000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 84.57.77.61, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
36,1698708969000,Die Systemzeit wurde erfolgreich aktualisiert von Zeitserver 185.197.135.6.,2104,1,,
37,1698745137000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1698709778000,2
38,1698789948000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
39,1698789958000,Internetverbindung wurde getrennt.,23,2,,
40,1698789958000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
41,1698789962000,DSL-Synchronisierung beginnt (Training).,12,2,,
42,1698790102000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 69997/36999 kbit/s).,11,2,,
43,1698790130000,PPPoE-Fehler: Zeitüberschreitung. pado: hostuniq mismatch,41,2,,
44,1698790152000,PPPoE-Fehler: Unbekannter Fehler. ,48,2,1698790142000,2
45,1698790163000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0000406887 bad form,34,2,,
46,1698790226000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1698790223000,4
47,1698790226000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 84.57.77.61, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
48,1698839076000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
49,1698953286000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
50,1698953297000,Internetverbindung wurde getrennt.,23,2,,
51,1698953297000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
52,1698953305000,DSL-Synchronisierung beginnt (Training).,12,2,,
53,1698953336000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
54,1698953446000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 69997/36999 kbit/s).,11,2,,
55,1698953453000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0002109335 bad form,34,2,,
56,1698953515000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1698953513000,3
57,1698953516000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 178.0.208.23, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
58,1698953516000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,,
