id,datetime,message,message_id,category_id,repetition_datetime,repetition_count
1,2023-10-25T14:21:13Z,DSL-Synchronisierung beginnt (Training).,12,2,,
2,2023-10-25T14:23:29Z,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2 gescheitert (ungültige Sitzungskennung). Zur Sicherheit werden alle noch gültigen Sitzungen zur IP-Adresse 192.168.178.2 beendet.,503,1,,
3,2023-10-25T14:23:34Z,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
4,2023-10-25T14:23:36Z,DSL ist verfügbar (DSL-Synchronisierung besteht mit 69997/36999 kbit/s).,11,2,,
5,2023-10-25T14:23:43Z,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN27 0113374004 bad form,34,2,,
6,2023-10-25T14:24:46Z,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,2023-10-25T14:24:43Z,4
7,2023-10-25T14:24:46Z,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 2.205.161.141, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
8,2023-10-25T14:24:48Z,Die Systemzeit wurde erfolgreich aktualisiert von Zeitserver 45.138.55.61.,2104,1,,
9,2023-10-25T22:55:11Z,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,2023-10-25T14:27:01Z,15
10,2023-10-26T15:14:27Z,DSL-Synchronisierung beginnt (Training).,12,2,,
11,2023-10-26T15:16:47Z,DSL ist verfügbar (DSL-Synchronisierung besteht mit 69997/36999 kbit/s).,11,2,,
12,2023-10-26T15:16:54Z,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN27 0114228879 bad form,34,2,,
13,2023-10-26T15:17:57Z,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,2023-10-26T15:17:54Z,4
14,2023-10-26T15:17:57Z,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 178.9.196.119, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
15,2023-10-26T15:18:00Z,Die Systemzeit wurde erfolgreich aktualisiert von Zeitserver 217.114.59.66.,2104,1,,
16,2023-10-26T15:18:21Z,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2 gescheitert (ungültige Sitzungskennung). Zur Sicherheit werden alle noch gültigen Sitzungen zur IP-Adresse 192.168.178.2 beendet.,503,1,,
17,2023-10-26T15:18:26Z,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
18,2023-10-26T15:24:38Z,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2 gescheitert (ungültige Sitzungskennung). Zur Sicherheit werden alle noch gültigen Sitzungen zur IP-Adresse 192.168.178.2 beendet.,503,1,,
19,2023-10-28T01:48:21Z,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,2023-10-26T15:28:17Z,4
20,2023-10-28T01:51:47Z,DSL-Synchronisierung beginnt (Training).,12,2,,
21,2023-10-28T01:53:34Z,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2 gescheitert (ungültige Sitzungskennung). Zur Sicherheit werden alle noch gültigen Sitzungen zur IP-Adresse 192.168.178.2 beendet.,503,1,,
22,2023-10-28T01:53:40Z,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,2023-10-28T01:53:39Z,2
23,2023-10-28T01:54:08Z,DSL ist verfügbar (DSL-Synchronisierung besteht mit 69997/36999 kbit/s).,11,2,,
24,2023-10-28T01:54:15Z,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN27 0115318863 bad form,34,2,,
25,2023-10-28T01:55:18Z,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,2023-10-28T01:55:15Z,4
26,2023-10-28T01:55:18Z,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 178.9.196.102, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
